tweet,label,negation_flag,intensifier_flag,annotated_tweet,text
كل الناس ف الصيدلية بتيجي تاخد ادوية اكتئاب و مهدئات و ناس عادية جدا شكلها عادي مش ناس بتضرب يعني,1,0,0,الناس الصيدليه بتيجي تاخد ادويه اكتئاب مهدئات ناس عاديه جدا شكلها عادي ناس بتضرب يعني,كل الناس ف الصيدليه بتيجي تاخد ادويه اكتئاب و مهدئات و ناس عاديه جدا شكلها عادي مش ناس بتضرب يعني
ينتابُني قلقُ المصيرِ وكُلّما آنستُ لُطفَ الهِ عادَ هدُوئِي,1,0,0,ينتابني قلق المصير وكلما انست لطف اله عاد هدوئي,ينتابني قلق المصير وكلما انست لطف اله عاد هدوئي
الشجر الميت بيجبلي اكتئاب,1,0,0,الشجر الميت بيجبلي اكتئاب,الشجر الميت بيجبلي اكتئاب
ياربي جاني اكتئاب وانا مبسوطه لعيد والتجهيزات 😣,1,0,0,ياربي جاني اكتئاب وانا مبسوطه لعيد والتجهيزات,ياربي جاني اكتئاب وانا مبسوطه لعيد والتجهيزات 😣
"لما تكون مكتئب_x000D_
 فتحاول تفائل و تقول لأ مش هستسلم_x000D_
 و بعدين الواقع يخبطك بموجة من الإحباط فترجع تاني مكتئب",1,0,0,لما تكون مكتئب فتحاول تفائل تقول هستسلم بعدين الواقع يخبطك بموجه الاحباط فترجع تاني مكتئب,لما تكون مكتئب_x<NUM>D_ فتحاول تفائل و تقول لا مش هستسلم_x<NUM>D_ و بعدين الواقع يخبطك بموجه من الاحباط فترجع تاني مكتئب
وإنى يا اله حزينة وانين قلبى اخترق روحى وأحزنها فخف من وجع قلبى وهدئ من حُزن نفسى وقل من قلقي يا اله,1,0,0,واني اله حزينه وانين قلبي اخترق روحي واحزنها فخف وجع قلبي وهدئ حزن نفسي وقل قلقي اله,واني يا اله حزينه وانين قلبي اخترق روحي واحزنها فخف من وجع قلبي وهدئ من حزن نفسي وقل من قلقي يا اله
"ايش هذي الفوضى_x000D_
الأكتئاب ألتهمني",1,0,0,ايش هذي الفوضي الاكتئاب التهمني,ايش هذي الفوضي_x<NUM>D_الاكتئاب التهمني
بداية غرق في اكتئاب,1,0,0,بدايه غرق اكتئاب,بدايه غرق في اكتئاب
الفتره دي الله يطلعني منها قبل ما ادخل ف اكتئاب م حقدر اطلع منو انا متأكده,1,1,0,الفتره الله يطلعني منها ادخل اكتئاب حقدر اطلع منو انا متاكده,الفتره دي الله يطلعني منها قبل ما ادخل ف اكتئاب م حقدر اطلع منو انا متاكده
انتي لو تسمعين سوالفنا انا وخواتي جاك اكتئاب حاد,1,0,0,انتي تسمعين سوالفنا انا وخواتي جاك اكتئاب حاد,انتي لو تسمعين سوالفنا انا وخواتي جاك اكتئاب حاد
شبعنا حزن متى نشبع فرح,1,0,0,شبعنا حزن متي نشبع فرح,شبعنا حزن متي نشبع فرح
اذا شفت حبوب مستحيل ماتجي افكار انتحار براسي,1,0,0,اذا شفت حبوب مستحيل ماتجي افكار انتحار براسي,اذا شفت حبوب مستحيل ماتجي افكار انتحار براسي
مدري بس خلاص قرفت من الرهاب الاجتماعي ولا ايش ما كان الخلل الي فيا,1,1,0,مدري خلاص قرفت الرهاب الاجتماعي ولا ايش الخلل الي فيا,مدري بس خلاص قرفت من الرهاب الاجتماعي ولا ايش ما كان الخلل الي فيا
من يبغاها حلال عليه طفشت من كثر الفلوس عندي جابت لي أكتئاب,1,0,0,يبغاها حلال عليه طفشت كثر الفلوس عندي جابت اكتئاب,من يبغاها حلال عليه طفشت من كثر الفلوس عندي جابت لي اكتئاب
بشكل صحي وضعهم صعب قد يموتون غيظ او يتعرضون لسكته يعانون من إكتئاب قوي فوبي,1,0,0,بشكل صحي وضعهم صعب يموتون غيظ يتعرضون لسكته يعانون اكتئاب قوي فوبي,بشكل صحي وضعهم صعب قد يموتون غيظ او يتعرضون لسكته يعانون من اكتئاب قوي فوبي
الواحد بيكون مكتئب بيفوت التويتر بيكتئب أكتر,1,0,0,الواحد بيكون مكتئب بيفوت التويتر بيكتئب اكتر,الواحد بيكون مكتئب بيفوت التويتر بيكتئب اكتر
عزله يارهامي عزله 😂❤️,1,0,0,عزله يارهامي عزله 😂❤️,عزله يارهامي عزله 😂❤️
اول مره ابكي من عوار القلب و اول مره احس روحي بتطلع مني💔,1,0,0,اول مره ابكي عوار القلب اول مره احس روحي بتطلع مني💔,اول مره ابكي من عوار القلب و اول مره احس روحي بتطلع مني💔
جتني الضيقه وابغا ابكي ليتني ماسمعت,1,0,0,جتني الضيقه وابغا ابكي ليتني ماسمعت,جتني الضيقه وابغا ابكي ليتني ماسمعت
كآبه وملل متى يخلص هالشهر بسرعه,1,0,0,كابه وملل متي يخلص هالشهر بسرعه,كابه وملل متي يخلص هالشهر بسرعه
يؤلمني جسدي كثيراً في ظل انتظاري البائس أن يأتي يوماً جديداً يكون أفضل أنتظر هذا اليوم بشدة ,1,0,1,يؤلمني جسدي كثيرا انتظاري البائس ياتي يوما جديدا افضل انتظر اليوم بشده,يؤلمني جسدي كثيرا في ظل انتظاري البائس ان ياتي يوما جديدا يكون افضل انتظر هذا اليوم بشده
انا حاس اني عندي اكتئاب حاس مش متأكد حد عارف اتأكد ازاي,1,0,0,انا حاس اني عندي اكتئاب حاس متاكد عارف اتاكد ازاي,انا حاس اني عندي اكتئاب حاس مش متاكد حد عارف اتاكد ازاي
بجد طول رمضان نفسي كانت هادئة ومطمئنة الي حد كبير ومعانتش من نوبات قلق خالص، النهارده ومن بعد المغرب حرفيًا مش عارفة اتنفس وتقل الدنيا على قلبي، مش عارفه ماليش نفس اعيد يعني! ما نبدأ نوبات قلق وزفت على دماغنا بعد العيد طييييب.,1,1,0,بجد طول رمضان نفسي هادئه ومطمئنه الي كبير ومعانتش نوبات قلق خالص، النهارده ومن المغرب حرفيا عارفه اتنفس وتقل الدنيا علي قلبي، عارفه ماليش نفس اعيد يعني نبدا نوبات قلق وزفت علي دماغنا العيد طيب,بجد طول رمضان نفسي كانت هادئه ومطمئنه الي حد كبير ومعانتش من نوبات قلق خالص، النهارده ومن بعد المغرب حرفيا مش عارفه اتنفس وتقل الدنيا علي قلبي، مش عارفه ماليش نفس اعيد يعني! ما نبدا نوبات قلق وزفت علي دماغنا بعد العيد طييييب.
الصراحة مش فاهمة الاستاذ شابوه بيعمل ايه يعني احنا ناقصين ذعر و اكتئاب هل مثلا الكورونا خلصت و بندور على ڤيرس جديد,1,0,0,الصراحه فاهمه الاستاذ شابوه بيعمل ايه يعني احنا ناقصين ذعر اكتئاب مثلا الكورونا خلصت بندور علي ڤيرس جديد,الصراحه مش فاهمه الاستاذ شابوه بيعمل ايه يعني احنا ناقصين ذعر و اكتئاب هل مثلا الكورونا خلصت و بندور علي ڤيرس جديد
كل ما بصحى الصبح وألاقي شمس والجو حر وسخن وعموماً كل ما بحس إن الصيف بيقرب بحسني داخله على إكتئاب حاد😤,1,1,0,بصحي الصبح والاقي شمس والجو وسخن وعموما بحس الصيف بيقرب بحسني داخله علي اكتئاب حاد😤,كل ما بصحي الصبح والاقي شمس والجو حر وسخن وعموما كل ما بحس ان الصيف بيقرب بحسني داخله علي اكتئاب حاد😤
كأبه حياتي شذا,1,0,0,كابه حياتي شذا,كابه حياتي شذا
الانتحار حرام بس التعب النفسي بيدمر الواحد 💔,1,0,0,الانتحار حرام التعب النفسي بيدمر الواحد,الانتحار حرام بس التعب النفسي بيدمر الواحد 💔
والله الغربة و العزلة تجيب اكتئاب افكر في الانتحار,1,0,0,والله الغربه العزله تجيب اكتئاب افكر الانتحار,والله الغربه و العزله تجيب اكتئاب افكر في الانتحار
و في كل مرة نتساءل بأي ذنب كل هذا الظلم يكون الجواب المزيد من اليأس و الإنتحار انتحارالبدون,1,0,0,مره نتساءل باي ذنب الظلم الجواب المزيد الياس الانتحار انتحارالبدون,و في كل مره نتساءل باي ذنب كل هذا الظلم يكون الجواب المزيد من الياس و الانتحار انتحارالبدون
الوحده حلوه بس طلعت صعبه 💔,1,0,0,الوحده حلوه طلعت صعبه,الوحده حلوه بس طلعت صعبه 💔
يليت اقدر الحس الكتب واستفيد لان من الاكتئاب م عندي وقت اقرا,1,0,0,يليت اقدر الحس الكتب واستفيد لان الاكتئاب عندي وقت اقرا,يليت اقدر الحس الكتب واستفيد لان من الاكتئاب م عندي وقت اقرا
مستحيل انام نومة حلوه بدون كوابيس واحلام قلق,1,1,0,مستحيل انام نومه حلوه بدون كوابيس واحلام قلق,مستحيل انام نومه حلوه بدون كوابيس واحلام قلق
تايه من شدة التفكير وضيقة الصدر صعبة علي الإنسان إحساس كأبة الله لايبلينا,1,0,0,تايه شده التفكير وضيقه الصدر صعبه علي الانسان احساس كابه الله لايبلينا,تايه من شده التفكير وضيقه الصدر صعبه علي الانسان احساس كابه الله لايبلينا
وع فيني كأبه وسوداوية ما ادري وش السبب ودي أروح أركض بس بتشقني الشمس,1,1,0,فيني كابه وسوداويه ادري السبب ودي اروح اركض بتشقني الشمس,وع فيني كابه وسوداويه ما ادري وش السبب ودي اروح اركض بس بتشقني الشمس
واله الواحد معد يدري هو اكتئاب ولا انطفاء ولا نضج ولا انعدام الشغف ولا حاله نفسيه ولا هذي شخصيته,1,0,0,واله الواحد معد يدري اكتئاب ولا انطفاء ولا نضج ولا انعدام الشغف ولا حاله نفسيه ولا هذي شخصيته,واله الواحد معد يدري هو اكتئاب ولا انطفاء ولا نضج ولا انعدام الشغف ولا حاله نفسيه ولا هذي شخصيته
إني لستُ بخير ولا على مايُرام لست سعيد وجداً حزين مكتئب محبط منهزم يائس متألم,1,0,0,اني لست بخير ولا علي مايرام لست سعيد وجدا حزين مكتئب محبط منهزم يائس متالم,اني لست بخير ولا علي مايرام لست سعيد وجدا حزين مكتئب محبط منهزم يائس متالم
مكتئب نفسين 💜✋,1,0,0,مكتئب نفسين,مكتئب نفسين 💜✋
هاجر اكتئاب معانا اتفضلي المايك😂💔,1,0,0,هاجر اكتئاب معانا اتفضلي المايك😂💔,هاجر اكتئاب معانا اتفضلي المايك😂💔
لو لم يكن الانتحار طريق الى جهنم لكنت الان اول المنتحرين,1,1,0,يكن الانتحار طريق الي جهنم لكنت الان اول المنتحرين,لو لم يكن الانتحار طريق الي جهنم لكنت الان اول المنتحرين
"تاتيك افكار سلبية وأحيانا مخيفة _x000D_
مشاعر سلبية منخفضة وتسب قلق _x000D_
أهداف تشعر انها صعبه _x000D_
حين تشعر بها _x000D_
فقط كر باستمر",1,0,0,تاتيك افكار سلبيه واحيانا مخيفه مشاعر سلبيه منخفضه وتسب قلق اهداف تشعر انها صعبه حين تشعر بها فقط باستمر,تاتيك افكار سلبيه واحيانا مخيفه _x<NUM>D_مشاعر سلبيه منخفضه وتسب قلق _x<NUM>D_اهداف تشعر انها صعبه _x<NUM>D_حين تشعر بها _x<NUM>D_فقط كر باستمر
باك تويتر باك كآبة,1,0,0,باك تويتر باك كابه,باك تويتر باك كابه
أنا حزين علي نفسي وعلي صبري وعلي كُل حاجة عملتها ومتقدرتش.,1,0,0,انا حزين علي نفسي وعلي صبري وعلي حاجه عملتها ومتقدرتش,انا حزين علي نفسي وعلي صبري وعلي كل حاجه عملتها ومتقدرتش.
القضاء على اكتئاب ماقبل الدورة الشهرية يجب أن يكون من ضمن ماتستهدفه الرؤية الكريمة,1,0,0,القضاء علي اكتئاب ماقبل الدوره الشهريه يجب ضمن ماتستهدفه الرؤيه الكريمه,القضاء علي اكتئاب ماقبل الدوره الشهريه يجب ان يكون من ضمن ماتستهدفه الرؤيه الكريمه
احتضن جسدي المشوه المتُألم وأغمض عيني المُحاطه بكُل تلك الهالات السوداء وردد كثيراً سنموت قريباً وينتهي كُل هذا الألم الي أن أنام وأفقد الشعور بذاتي,1,0,0,احتضن جسدي المشوه المتالم واغمض عيني المحاطه بكل الهالات السوداء وردد كثيرا سنموت قريبا وينتهي الالم الي انام وافقد الشعور بذاتي,احتضن جسدي المشوه المتالم واغمض عيني المحاطه بكل تلك الهالات السوداء وردد كثيرا سنموت قريبا وينتهي كل هذا الالم الي ان انام وافقد الشعور بذاتي
اكتئاب فراغ شوق 💔,1,0,0,اكتئاب فراغ شوق,اكتئاب فراغ شوق 💔
😢 حزن,1,0,0,حزن,😢 حزن
دي شكلها موجة اكتئاب وداخله عليك يسطا,1,0,0,شكلها موجه اكتئاب وداخله عليك يسطا,دي شكلها موجه اكتئاب وداخله عليك يسطا
بدل ما افكر ايش اسوي جالسه ابكي,1,1,0,بدل افكر ايش اسوي جالسه ابكي,بدل ما افكر ايش اسوي جالسه ابكي
انا على حافة الانهيار,1,0,0,انا علي حافه الانهيار,انا علي حافه الانهيار
لا اله الا اله جبتوا لنا اكتئاب واحباط استغفراله بس😭,1,1,0,اله الا اله جبتوا لنا اكتئاب واحباط استغفراله بس😭,لا اله الا اله جبتوا لنا اكتئاب واحباط استغفراله بس😭
نوبات هوس ونوبات اكتئاب عاليه مكن ابقي بعيط وبعدها بدقيقة بعيط من غير سب مش عارفه الي عندي اكتئاب عادي ولا ,1,1,0,نوبات هوس ونوبات اكتئاب عاليه مكن ابقي بعيط وبعدها بدقيقه بعيط غير عارفه الي عندي اكتئاب عادي ولا,نوبات هوس ونوبات اكتئاب عاليه مكن ابقي بعيط وبعدها بدقيقه بعيط من غير سب مش عارفه الي عندي اكتئاب عادي ولا
ترا السواد الي تحت عيني مُش مرض هذا قلة راحة وملامحي الباهته مُش كره لناس هذي فرط حزن وعصبيتي مش غباء هذا ضغط ب,1,0,0,ترا السواد الي تحت عيني مرض قله راحه وملامحي الباهته كره لناس هذي فرط حزن وعصبيتي غباء ضغط,ترا السواد الي تحت عيني مش مرض هذا قله راحه وملامحي الباهته مش كره لناس هذي فرط حزن وعصبيتي مش غباء هذا ضغط ب
"مدري ابكي😭_x000D_
ولا اضحك 🤣_x000D_
بس ليه متضايقة 😭🥺",1,0,0,مدري ابكي😭 ولا اضحك ليه متضايقه,مدري ابكي😭_x<NUM>D_ولا اضحك 🤣_x<NUM>D_بس ليه متضايقه 😭🥺
عزلة صامته 📖🌏,1,0,0,عزله صامته,عزله صامته 📖🌏
انا قاعدة اتخيل انى عايشة مع ناس زى دول دة انا كان جالى اكتئاب مزمن وتوحد كمان,1,0,0,انا قاعده اتخيل اني عايشه ناس دول انا جالي اكتئاب مزمن وتوحد كمان,انا قاعده اتخيل اني عايشه مع ناس زي دول ده انا كان جالي اكتئاب مزمن وتوحد كمان
هو في حد مكتئب ولا انا بس🥺💔,1,0,0,مكتئب ولا انا بس🥺💔,هو في حد مكتئب ولا انا بس🥺💔
انا براجع طبيب نفسي مو معقوله ماتركت سايكو أو شخص مكروه إلا حبيته طبعاً من الثلاثه الي فوق اكرهم كلهم بإستثناء ماهيتو اعشقه,1,0,0,انا براجع طبيب نفسي معقوله ماتركت سايكو شخص مكروه الا حبيته طبعا الثلاثه الي فوق اكرهم كلهم باستثناء ماهيتو اعشقه,انا براجع طبيب نفسي مو معقوله ماتركت سايكو او شخص مكروه الا حبيته طبعا من الثلاثه الي فوق اكرهم كلهم باستثناء ماهيتو اعشقه
تخيل انا ابكي من ٣ ايام,1,0,0,تخيل انا ابكي ايام,تخيل انا ابكي من <NUM> ايام
اليوم مره كآبه وصعب انا حتى مالي خلق اتكلم بس ابي اتنفس بدون اي تدخلات,1,1,0,اليوم مره كابه وصعب انا حتي مالي خلق اتكلم ابي اتنفس بدون تدخلات,اليوم مره كابه وصعب انا حتي مالي خلق اتكلم بس ابي اتنفس بدون اي تدخلات
شخص مثلي دائماً يمنعه كبريائه ان يظهر بالمظهر الحزين كنت دائماً احرص على ظهوري بكامل الأناقه والأبتسامه حتى ولو الجوف مقهور,1,0,0,شخص مثلي دائما يمنعه كبريائه يظهر بالمظهر الحزين كنت دائما احرص علي ظهوري بكامل الاناقه والابتسامه حتي ولو الجوف مقهور,شخص مثلي دائما يمنعه كبريائه ان يظهر بالمظهر الحزين كنت دائما احرص علي ظهوري بكامل الاناقه والابتسامه حتي ولو الجوف مقهور
انا كمية الفضايح و قصص التحرش الي قريتها انهارده جابتلي اكتئاب يابن المره,1,0,0,انا كميه الفضايح قصص التحرش الي قريتها انهارده جابتلي اكتئاب يابن المره,انا كميه الفضايح و قصص التحرش الي قريتها انهارده جابتلي اكتئاب يابن المره
لبست السماعات عشان محد يكلمني او عشان فيني رهاب اجتماعي ,1,0,0,لبست السماعات عشان محد يكلمني عشان فيني رهاب اجتماعي,لبست السماعات عشان محد يكلمني او عشان فيني رهاب اجتماعي
"الهم خلص البنات من غسل المواعين 😢_x000D_
لا جوع ولا عطش بس الم تفكير في المواعين صار عدنا اكتئاب _x000D_
حتى اظافري تكسرت و",1,1,0,الهم خلص البنات غسل المواعين جوع ولا عطش الم تفكير المواعين صار عدنا اكتئاب حتي اظافري تكسرت,الهم خلص البنات من غسل المواعين 😢_x<NUM>D_لا جوع ولا عطش بس الم تفكير في المواعين صار عدنا اكتئاب _x<NUM>D_حتي اظافري تكسرت و
صحيح اعاني من الاكتئاب الذهاني 😢,1,0,0,صحيح اعاني الاكتئاب الذهاني,صحيح اعاني من الاكتئاب الذهاني 😢
بدك بعد الفيلم سيمبلتا او بروزاك ه,1,0,0,بدك الفيلم سيمبلتا بروزاك,بدك بعد الفيلم سيمبلتا او بروزاك ه
"يوم الاثنين ١٤١٦٣٠ _x000D_
اتذكر مريت بفترة ماتخيلت من قوة الضيقة اني بطلع منها لدرجة اكتئاب ماكان طبيعي 🥺💔",1,0,0,يوم الاثنين ١٤١٦٣٠ اتذكر مريت بفتره ماتخيلت قوه الضيقه اني بطلع منها لدرجه اكتئاب ماكان طبيعي,يوم الاثنين <NUM><NUM><NUM><NUM><NUM><NUM> _x<NUM>D_اتذكر مريت بفتره ماتخيلت من قوه الضيقه اني بطلع منها لدرجه اكتئاب ماكان طبيعي 🥺💔
انا مكتئب ليش تزيدها الحين بقعد اتحسر عليك 😣,1,0,0,انا مكتئب ليش تزيدها الحين بقعد اتحسر عليك,انا مكتئب ليش تزيدها الحين بقعد اتحسر عليك 😣
"هيطلعوا ريجيني مريض اكتئاب _x000D_
وانتحر👹_x000D_
ولما انتحر الناس بتوع عربية الميكروباص زعلوا عليه و",1,0,0,هيطلعوا ريجيني مريض اكتئاب وانتحر👹 ولما انتحر الناس بتوع عربيه الميكروباص زعلوا عليه,هيطلعوا ريجيني مريض اكتئاب _x<NUM>D_وانتحر👹_x<NUM>D_ولما انتحر الناس بتوع عربيه الميكروباص زعلوا عليه و
اني اعيش متناقضة في حياتي دي اكتر حاجة بتخليني افكر في الانتحار,1,0,0,اني اعيش متناقضه حياتي اكتر حاجه بتخليني افكر الانتحار,اني اعيش متناقضه في حياتي دي اكتر حاجه بتخليني افكر في الانتحار
حلو والله لأنو غالبًا لو الشخص عنده خطة وحدة بس وبذل كل جهده عليها وما صارت يدخل في اكتئاب,1,0,0,حلو والله لانو غالبا الشخص عنده خطه وحده وبذل جهده عليها وما صارت يدخل اكتئاب,حلو والله لانو غالبا لو الشخص عنده خطه وحده بس وبذل كل جهده عليها وما صارت يدخل في اكتئاب
ياناس فيه كثير اوهموهم القراء والي يسون رقيه ان عنده حسد وسحروبالاخير اكتشف انه مرض نفسي,1,0,0,ياناس فيه كثير اوهموهم القراء والي يسون رقيه عنده حسد وسحروبالاخير اكتشف انه مرض نفسي,ياناس فيه كثير اوهموهم القراء والي يسون رقيه ان عنده حسد وسحروبالاخير اكتشف انه مرض نفسي
"أحتاج عزلة لوحدي_x000D_
والشخص المناسب ما ابيه خلوه لكم 😂",1,1,0,احتاج عزله لوحدي والشخص المناسب ابيه خلوه لكم,احتاج عزله لوحدي_x<NUM>D_والشخص المناسب ما ابيه خلوه لكم 😂
انا مكتئبه تزيدني اكتئاب,1,0,0,انا مكتئبه تزيدني اكتئاب,انا مكتئبه تزيدني اكتئاب
لأ عادى مش زعل ولا اكتئاب بس زهقت من خلقتى بتحصل كتير أو دائما,1,0,0,عادي زعل ولا اكتئاب زهقت خلقتي بتحصل كتير دائما,لا عادي مش زعل ولا اكتئاب بس زهقت من خلقتي بتحصل كتير او دائما
لو حاب اقولك لو دخلنا,1,0,0,حاب اقولك دخلنا,لو حاب اقولك لو دخلنا
احس ابي ابكي بس مافي مكان,1,0,0,احس ابي ابكي مافي مكان,احس ابي ابكي بس مافي مكان
برجع انام لاني على حافة الاكتئاب,1,0,0,برجع انام لاني علي حافه الاكتئاب,برجع انام لاني علي حافه الاكتئاب
ولأنك تكتم الكلام ، سيتراكم حبره تحت عينيك,1,0,0,ولانك تكتم الكلام سيتراكم حبره تحت عينيك,ولانك تكتم الكلام ، سيتراكم حبره تحت عينيك
"انا اصبت فى شهر اتناشر_x000D_
احنا دلوقتى داخلين على خمسه_x000D_
وفيه اعراض لسه _x000D_
اكتئاب وزهق ومش بقدر اجرى وساعات احسن بألم فى صدرى",1,0,0,انا اصبت شهر اتناشر احنا دلوقتي داخلين علي خمسه وفيه اعراض لسه اكتئاب وزهق ومش بقدر اجري وساعات احسن بالم صدري,انا اصبت في شهر اتناشر_x<NUM>D_احنا دلوقتي داخلين علي خمسه_x<NUM>D_وفيه اعراض لسه _x<NUM>D_اكتئاب وزهق ومش بقدر اجري وساعات احسن بالم في صدري
واله ودي اعرف ليه قاعده ابكي,1,0,0,واله ودي اعرف ليه قاعده ابكي,واله ودي اعرف ليه قاعده ابكي
كدا بدأنا اكتئاب بقا🙆🏻‍♀️,1,0,0,كدا بدانا اكتئاب بقا🙆🏻‍♀️,كدا بدانا اكتئاب بقا🙆🏻♀️
لو الأنتحار حلال لكانت الدنيا مهجوره وانا اول المهاجرين💔,1,0,0,الانتحار حلال لكانت الدنيا مهجوره وانا اول المهاجرين💔,لو الانتحار حلال لكانت الدنيا مهجوره وانا اول المهاجرين💔
اكتئاب فل مارك ولهي,1,0,0,اكتئاب مارك ولهي,اكتئاب فل مارك ولهي
ماتسحر ولا افطر بس مويا بحكم نومي ومن عقبها وانا صايره اتعب وغثيان وانا صايمه ودوخه ومافيني طاقه هالنوم سبب لي اكتئاب وعيا,1,0,0,ماتسحر ولا افطر مويا بحكم نومي ومن عقبها وانا صايره اتعب وغثيان وانا صايمه ودوخه ومافيني طاقه هالنوم سبب اكتئاب وعيا,ماتسحر ولا افطر بس مويا بحكم نومي ومن عقبها وانا صايره اتعب وغثيان وانا صايمه ودوخه ومافيني طاقه هالنوم سبب لي اكتئاب وعيا
يارب انا قلبي زعلان و حزن الدنيا كله فيه هون يارب,1,0,0,يارب انا قلبي زعلان حزن الدنيا كله فيه هون يارب,يارب انا قلبي زعلان و حزن الدنيا كله فيه هون يارب
